position,person,personID,start,end,gender,DOB,DOD,image,enwiki
President,Árpád Göncz,Q102200,1990-05-02,2000-08-04,male,1922-02-10,2015-10-06,GönczÁrpád.jpg,Árpád Göncz
President,Ferenc Mádl,Q205642,2000-08-04,2005-08-05,male,1931-01-29,2011-05-29,Ferenc Mádl.jpg,Ferenc Mádl
President,László Sólyom,Q152335,2005-08-05,2010-08-05,male,1942-01-03,,László Sólyom.jpg,László Sólyom
President,Pál Schmitt,Q184810,2010-08-06,2012-04-02,male,1942-05-13,,SchmittPal-2011-01 EuropaPont.jpg,Pál Schmitt
President,László Kövér,Q465476,2012-04-02,2012-05-09,male,1959-12-29,,László Kövér Senate of Poland 01.JPG,László Kövér
President,János Áder,Q57467,2012-05-10,2017-05-09,male,1959-05-09,,János Áder no Brasil.jpg,János Áder
President,János Áder,Q57467,2017-05-10,2022-05-09,male,1959-05-09,,János Áder no Brasil.jpg,János Áder
President,Katalin Novák,Q21995345,2022-05-10,,female,1977-09-06,,Katalin Novák in 2017 (cropped).jpg,Katalin Novák
Prime Minister,Viktor Orbán,Q57641,1998-07-08,2002-05-27,male,1963-05-31,,Viktor Orbán 2022.jpg,Viktor Orbán
Prime Minister,Péter Medgyessy,Q156487,2002-05-27,2004-09-29,male,1942-10-19,,Medgyessy in August 2014 (cropped).JPG,Péter Medgyessy
Prime Minister,Ferenc Gyurcsány,Q191337,2004-09-29,2009-04-14,male,1961-06-04,,Ferenc Gyurcsány-2.jpg,Ferenc Gyurcsány
Prime Minister,Gordon Bajnai,Q57595,2009-04-14,2010-05-29,male,1968-03-05,,Bajnai Halásztelek.JPG,Gordon Bajnai
Prime Minister,Viktor Orbán,Q57641,2010-05-29,,male,1963-05-31,,Viktor Orbán 2022.jpg,Viktor Orbán
Deputy Prime Minister,Zsolt Semjén,Q55574,2010-06-01,2018-05-18,male,1962-08-08,,Zsolt Semjén 2019.jpg,Zsolt Semjén
"Deputy Prime Minister for National Policy, Church Affairs and National Minorities",Zsolt Semjén,Q55574,2018-05-18,,male,1962-08-08,,Zsolt Semjén 2019.jpg,Zsolt Semjén
"Deputy Prime Minister for National Policy, Church Affairs and National Minorities",Zsolt Semjén,Q55574,2018-05-18,2022-05-23,male,1962-08-08,,Zsolt Semjén 2019.jpg,Zsolt Semjén
Minister of Agriculture,József Torgyán,Q768978,1998-07-08,2001-02-15,male,1932-11-16,2017-01-22,Torgyán József - 2016 (crop).jpg,József Torgyán
