position,title
Q63751265,ambassador to Albania
Q63479683,ambassador to Argentina
Q63255429,ambassador to Australia
Q62994635,ambassador to Austria
Q63456757,ambassador to Azerbaijan
Q63456812,ambassador to Belarus
Q63247361,ambassador to Belgium
Q66104823,ambassador to Bosnia and Herzegovina
Q66108691,ambassador to Brazil
Q63287428,ambassador to Bulgaria
Q63256030,ambassador to Canada
Q65082856,ambassador to Chile
Q63240938,ambassador to China
Q66712875,ambassador to Colombia
Q65503336,ambassador to Croatia
Q66424078,ambassador to Cuba
Q106300289,ambassador to Cyprus
Q63861514,ambassador to the Czech Republic
Q63524738,ambassador to Denmark
Q112237165,ambassador to Ecuador
Q66058007,ambassador to Egypt
Q65658586,ambassador to Estonia
Q63255724,ambassador to Finland
Q62558339,ambassador to France
Q110763465,ambassador to Georgia
Q62128385,ambassador to Germany
Q63749545,ambassador to Ghana
Q63247014,ambassador to Greece
Q63385960,ambassador to the Holy See
Q63363621,ambassador to India
Q66613852,ambassador to Indonesia
Q85663964,ambassador to Iran
Q66057916,ambassador to Iraq
Q66057960,ambassador to Ireland
Q63517543,ambassador to Israel
Q63232094,ambassador to Italy
Q63057490,ambassador to Japan
Q63433398,ambassador to Kuwait
Q108804644,ambassador to Kyrgyzstan
Q65570529,ambassador to Latvia
Q110810053,ambassador to Libya
Q112337264,ambassador to Luxembourg
Q65040521,ambassador to Mexico
Q63460661,ambassador to Moldova
Q109122528,ambassador to Mongolia
Q63313589,ambassador to the Netherlands
Q63431749,ambassador to Norway
Q105695261,ambassador to Pakistan
Q89648624,ambassador to Peru
Q96277268,ambassador to the Philippines
Q62128047,ambassador to Poland
Q63521644,ambassador to Portugal
Q63340615,ambassador to Romania
Q63120902,ambassador to Russia
Q63753020,ambassador to Serbia
Q110762938,ambassador to Singapore
Q63456637,ambassador to Slovakia
Q62128559,ambassador to Slovenia
Q107005541,ambassador to South Africa
Q63039027,ambassador to Spain
Q63111486,ambassador to Sweden
Q63037324,ambassador to Switzerland
Q63184833,ambassador to Turkey
Q63348156,ambassador to Ukraine
Q63024073,ambassador to United Kingdom
Q30591928,ambassador to the United States
Q63823320,ambassador to Vietnam
Q63284983,ambassador to Yugoslavia
Q30161250,ambassador of Hungary
Q62578836,Permanent Representative to the United Nations
Q63614140,Permanent Representative to the United Nations at Vienna
Q63171103,Permanent Representative to the United Nations at Geneva
Q106362721,Permanent Representative of Hungary to the OECD
